epoch,train_loss,train_err,test_err
0,4.600823402404785,0.98596,0.9877
1,4.576294898986816,0.98426,0.9816
2,4.290827751159668,0.96626,0.9636
3,3.961798906326294,0.91072,0.9093
4,3.528614044189453,0.85356,0.8613
5,3.210195541381836,0.80554,0.804
6,3.359767436981201,0.75322,0.7555
7,2.9180188179016113,0.70464,0.7148
8,2.523097038269043,0.66142,0.6685
9,2.2428641319274902,0.60994,0.6177
10,2.2919437885284424,0.61486,0.6269
11,2.2413971424102783,0.57274,0.5952
12,2.074277400970459,0.5391,0.5611
13,1.8526039123535156,0.5288,0.5634
14,1.6308950185775757,0.49638,0.5384
15,2.0838704109191895,0.48956,0.5367
16,1.6237694025039673,0.47944,0.5338
17,1.3851096630096436,0.45678,0.5127
18,1.4731180667877197,0.4825,0.5295
19,1.919894814491272,0.45258,0.5059
20,1.5200649499893188,0.46298,0.5154
21,1.216421127319336,0.44576,0.5095
22,1.4925260543823242,0.4061,0.4831
23,1.3078017234802246,0.4088,0.4822
24,1.3114715814590454,0.43072,0.5013
25,1.4804151058197021,0.3962,0.48
26,1.3073413372039795,0.41554,0.4942
27,1.3006916046142578,0.34054,0.4412
28,1.4364159107208252,0.3602,0.4543
29,1.3180599212646484,0.39678,0.4841
30,1.2035892009735107,0.37518,0.4723
31,1.0072252750396729,0.39356,0.4884
32,1.2725093364715576,0.37192,0.4652
33,1.0367214679718018,0.36382,0.4664
34,1.3336297273635864,0.36098,0.4624
35,1.2606898546218872,0.32714,0.4389
36,1.1937555074691772,0.34816,0.4521
37,1.218965768814087,0.34346,0.4417
38,1.0911821126937866,0.32676,0.431
39,1.2815237045288086,0.33044,0.4446
40,1.005582571029663,0.38284,0.4927
41,0.8392843008041382,0.3031,0.435
42,1.0893406867980957,0.35996,0.4681
43,0.9586870074272156,0.31876,0.445
44,1.0729855298995972,0.3396,0.4485
45,1.175696611404419,0.35288,0.4625
46,1.1313023567199707,0.29436,0.4187
47,0.7625855207443237,0.3117,0.4374
48,1.0691261291503906,0.34734,0.4688
49,0.8842147588729858,0.2922,0.423
50,0.9776604771614075,0.33934,0.4587
51,0.8912017941474915,0.29984,0.4307
52,0.8468335270881653,0.31532,0.437
53,0.9594117403030396,0.28684,0.4224
54,1.0851223468780518,0.29632,0.4287
55,0.7144227027893066,0.31586,0.4549
56,1.0179812908172607,0.26732,0.4125
57,0.7138708829879761,0.26256,0.4173
58,0.960252583026886,0.30028,0.4311
59,1.0750811100006104,0.32866,0.4551
60,0.7572725415229797,0.2647,0.4093
61,0.6952935457229614,0.30612,0.4528
62,0.8159371614456177,0.25162,0.4032
63,0.6705123782157898,0.2973,0.4379
64,0.7326796650886536,0.27172,0.4217
65,0.7872893810272217,0.2485,0.4112
66,0.834144115447998,0.25284,0.4095
67,0.8473038673400879,0.2522,0.4081
68,0.8569148182868958,0.25428,0.4146
69,1.009324312210083,0.25736,0.4203
70,0.7389158010482788,0.26446,0.4148
71,0.9205676913261414,0.26054,0.4252
72,0.4156305193901062,0.27652,0.4295
73,0.7344830632209778,0.26306,0.4183
74,1.0188311338424683,0.26778,0.4304
75,0.6844291687011719,0.25674,0.4182
76,0.5867346525192261,0.25562,0.4168
77,0.8829824328422546,0.24904,0.4082
78,0.8617548942565918,0.21818,0.3902
79,0.580178439617157,0.2646,0.421
80,0.8529583811759949,0.28324,0.443
81,0.6697661876678467,0.256,0.4156
82,0.40705952048301697,0.08488,0.3142
83,0.27713704109191895,0.0713,0.3081
84,0.301907479763031,0.06194,0.3073
85,0.29704949259757996,0.0569,0.3093
86,0.2779178023338318,0.052,0.3048
87,0.2902003526687622,0.04816,0.3034
88,0.24511484801769257,0.04412,0.3089
89,0.17617502808570862,0.04086,0.3068
90,0.15196505188941956,0.0375,0.3071
91,0.1075906753540039,0.03464,0.3067
92,0.15591391921043396,0.0319,0.3068
93,0.19823811948299408,0.0301,0.3079
94,0.09845669567584991,0.029,0.3065
95,0.14993096888065338,0.0264,0.305
96,0.13426610827445984,0.02434,0.312
97,0.12631987035274506,0.02274,0.3107
98,0.1449805200099945,0.02094,0.3121
99,0.15003977715969086,0.02152,0.3099
100,0.11439858376979828,0.02108,0.3111
101,0.14399729669094086,0.01814,0.3123
102,0.1030799150466919,0.0172,0.3101
103,0.139410138130188,0.01776,0.3142
104,0.1412385255098343,0.01512,0.3143
105,0.11355695873498917,0.01582,0.3167
106,0.10136695206165314,0.01436,0.3158
107,0.07711096107959747,0.01408,0.3176
108,0.10062313079833984,0.012,0.3133
109,0.12019916623830795,0.01214,0.3154
110,0.06551676988601685,0.01184,0.3174
111,0.06558611243963242,0.01022,0.3119
112,0.04595627635717392,0.0098,0.3126
113,0.08754400908946991,0.01026,0.3138
114,0.08649295568466187,0.00902,0.3138
115,0.06286454200744629,0.00944,0.3138
116,0.07344037294387817,0.0089,0.3164
117,0.11140568554401398,0.00786,0.3154
118,0.13493867218494415,0.0075,0.3159
119,0.033908795565366745,0.00804,0.315
