epoch,train_loss,train_err,test_err
0,4.357666015625,0.96602,0.9659
1,4.179115295410156,0.94126,0.9372
2,3.962928295135498,0.94672,0.9446
3,3.794665575027466,0.90736,0.9037
4,3.742919445037842,0.8893,0.8812
5,3.366438627243042,0.86862,0.861
6,3.5814826488494873,0.86374,0.8574
7,3.3901896476745605,0.8402,0.8274
8,3.488532304763794,0.85956,0.85
9,3.3621506690979004,0.83708,0.8277
10,3.3377716541290283,0.8217,0.8178
11,2.9315707683563232,0.79202,0.7926
12,2.6711623668670654,0.75688,0.7582
13,2.863851308822632,0.75006,0.7542
14,2.793442487716675,0.7291,0.7339
15,2.7058427333831787,0.73874,0.7281
16,2.858611583709717,0.71156,0.719
17,2.5113730430603027,0.71874,0.7203
18,2.5658891201019287,0.69922,0.7072
19,2.2864785194396973,0.68654,0.6861
20,2.479379415512085,0.69574,0.6967
21,2.560184955596924,0.6716,0.6703
22,2.544351816177368,0.6623,0.6658
23,2.3462929725646973,0.68362,0.6824
24,2.6612045764923096,0.69582,0.6968
25,2.2191596031188965,0.71048,0.6962
26,1.827692985534668,0.659,0.6625
27,1.9962663650512695,0.59958,0.6139
28,2.1248955726623535,0.60638,0.6261
29,2.1302666664123535,0.70628,0.707
30,2.177823781967163,0.61914,0.636
31,2.2628252506256104,0.6036,0.6284
32,2.106800079345703,0.61518,0.6216
33,2.0130276679992676,0.61792,0.6301
34,2.3557283878326416,0.57756,0.5948
35,2.029186725616455,0.61014,0.6252
36,2.0056045055389404,0.77032,0.7717
37,1.8904516696929932,0.71162,0.7132
38,2.095064640045166,0.57506,0.599
39,2.1294798851013184,0.5948,0.6216
40,2.3894574642181396,0.5842,0.6086
41,1.9527044296264648,0.65212,0.6634
42,1.833665132522583,0.56672,0.5908
43,2.084120273590088,0.68724,0.6949
44,1.8524198532104492,0.69086,0.7011
45,1.998919129371643,0.72954,0.7358
46,2.322861433029175,0.58204,0.6066
47,1.9816856384277344,0.5553,0.5775
48,1.5953114032745361,0.6199,0.6359
49,1.980350136756897,0.59638,0.6218
50,1.8424336910247803,0.58292,0.6059
51,1.436233401298523,0.68844,0.7048
52,1.8260806798934937,0.56978,0.5985
53,1.6801416873931885,0.59054,0.6194
54,1.8763898611068726,0.54084,0.5742
55,1.947052001953125,0.62086,0.6391
56,2.088827610015869,0.62152,0.6388
57,1.8030335903167725,0.55574,0.5802
58,1.994612455368042,0.72552,0.7255
59,1.63326096534729,0.6543,0.6484
60,1.9295971393585205,0.71512,0.7311
61,1.7326065301895142,0.62234,0.6426
62,1.8208932876586914,0.6373,0.6528
63,1.5693469047546387,0.57696,0.5965
64,1.4135725498199463,0.4974,0.5297
65,2.3067147731781006,0.5407,0.5712
66,1.8038885593414307,0.53156,0.5596
67,2.4119627475738525,0.53562,0.577
68,1.6428191661834717,0.58824,0.6184
69,1.7727344036102295,0.5227,0.566
70,1.8705943822860718,0.59416,0.6277
71,1.5036814212799072,0.63108,0.651
72,1.8540916442871094,0.54618,0.5907
73,1.8325191736221313,0.49842,0.5355
74,1.7450294494628906,0.48956,0.5272
75,1.6621261835098267,0.48798,0.532
76,1.5971994400024414,0.52226,0.5637
77,1.0803643465042114,0.53428,0.5622
78,1.7986505031585693,0.47682,0.5245
79,1.434517741203308,0.53392,0.5676
80,1.561105728149414,0.63986,0.6643
81,1.8048518896102905,0.52462,0.5639
82,0.995134174823761,0.32828,0.4167
83,1.2377177476882935,0.30966,0.4041
84,1.114827036857605,0.3048,0.3989
85,1.2625844478607178,0.30072,0.405
86,0.8510395884513855,0.2956,0.4042
87,1.1022334098815918,0.28616,0.3998
88,0.9280670285224915,0.28624,0.4042
89,0.7169289588928223,0.28446,0.4018
90,1.1550981998443604,0.2808,0.4031
91,1.0791617631912231,0.27918,0.3978
92,1.0499765872955322,0.27076,0.4034
93,0.6467598676681519,0.2745,0.4039
94,0.9894205331802368,0.26814,0.3989
95,0.6889630556106567,0.26964,0.4075
96,0.9650840759277344,0.26844,0.4038
97,1.0046371221542358,0.26764,0.4085
98,1.0794005393981934,0.26678,0.405
99,1.2210668325424194,0.26582,0.4064
100,0.6117678284645081,0.25586,0.4071
101,0.9493880271911621,0.25194,0.401
102,0.8687214851379395,0.2579,0.4065
103,0.854598343372345,0.26012,0.4077
104,0.9856263399124146,0.2461,0.3999
105,0.7198420763015747,0.25962,0.4063
106,0.8625073432922363,0.25346,0.4084
107,0.7115449905395508,0.25558,0.41
108,1.0295941829681396,0.25198,0.4107
109,0.7694554328918457,0.25116,0.4048
110,0.8067051768302917,0.25114,0.4117
111,0.9248105883598328,0.24806,0.4123
112,0.9304405450820923,0.24452,0.4074
113,0.9214750528335571,0.2444,0.4111
114,0.7959562540054321,0.23934,0.4126
115,1.1802449226379395,0.2464,0.4109
116,0.7611526250839233,0.23538,0.4118
117,0.8355067372322083,0.23172,0.4094
118,1.1574170589447021,0.23978,0.4099
119,0.9013860821723938,0.23188,0.4143
120,0.7459721565246582,0.23568,0.4118
121,1.038647174835205,0.23586,0.4126
122,0.8911643028259277,0.23582,0.4144
123,0.7243863344192505,0.19982,0.4008
124,0.5849296450614929,0.1967,0.3995
125,0.6829563975334167,0.19488,0.3963
126,0.7049843668937683,0.19202,0.3958
127,0.6345254778862,0.19016,0.397
128,0.7006420493125916,0.19066,0.3929
129,0.7428804636001587,0.19052,0.3955
130,0.5622135996818542,0.18804,0.3952
131,0.5913419723510742,0.18806,0.3959
132,0.6562145352363586,0.18906,0.3951
133,0.592372477054596,0.18816,0.3955
134,0.5695973634719849,0.18666,0.3961
135,0.8697595596313477,0.18574,0.3973
136,0.7725332975387573,0.18542,0.394
137,0.9901719093322754,0.18504,0.3937
138,0.5846223831176758,0.18418,0.3962
139,0.5492465496063232,0.1848,0.3956
140,1.0261642932891846,0.18636,0.3967
141,0.6008104085922241,0.18538,0.3965
142,0.8816459774971008,0.18358,0.3975
143,0.6785119771957397,0.1824,0.3958
144,0.6544442176818848,0.18254,0.3963
145,0.8128193616867065,0.18218,0.3998
146,0.9713106155395508,0.18382,0.397
147,0.6024481654167175,0.18238,0.3934
148,0.7759861350059509,0.1812,0.3976
149,0.5262223482131958,0.18166,0.3917
150,0.8460754156112671,0.1794,0.3979
151,0.6023755669593811,0.17924,0.3959
152,0.36705878376960754,0.18144,0.398
153,0.9697491526603699,0.17944,0.394
154,0.5951027870178223,0.17994,0.3978
155,0.8867875933647156,0.17818,0.3978
156,0.7009048461914062,0.17882,0.3972
157,0.6804956197738647,0.17732,0.3979
158,0.47000017762184143,0.1772,0.3981
159,0.5902920961380005,0.17858,0.396
160,0.7735134363174438,0.1777,0.3965
161,0.517421305179596,0.17804,0.3969
162,0.8643190264701843,0.1766,0.3945
163,0.5960389971733093,0.1766,0.394
