epoch,train_loss,train_err,test_err
0,4.280428886413574,0.94106,0.9378
1,3.768153667449951,0.86728,0.8629
2,3.2666015625,0.8092,0.8067
3,2.9231133460998535,0.75888,0.7598
4,2.4503023624420166,0.689,0.6978
5,2.273285150527954,0.63654,0.6536
6,2.342262029647827,0.56892,0.5919
7,2.0519206523895264,0.64744,0.671
8,1.4370900392532349,0.5492,0.576
9,2.118828535079956,0.51512,0.5422
10,1.7981001138687134,0.47678,0.5184
11,1.7718099355697632,0.46002,0.5043
12,1.5766124725341797,0.47458,0.5174
13,1.6481940746307373,0.42622,0.4805
14,1.371215581893921,0.45816,0.5123
15,1.7104465961456299,0.46486,0.5247
16,1.6489851474761963,0.42912,0.4905
17,1.5397913455963135,0.43844,0.4957
18,1.3481452465057373,0.39144,0.4606
19,1.135202407836914,0.43206,0.4869
20,1.501764178276062,0.4187,0.4866
21,1.4950792789459229,0.39656,0.4661
22,1.4470819234848022,0.35896,0.4318
23,1.0761252641677856,0.37962,0.4668
24,1.5625388622283936,0.39994,0.4721
25,1.1624958515167236,0.3693,0.4369
26,1.121779203414917,0.35924,0.448
27,1.118750810623169,0.35092,0.434
28,1.1729416847229004,0.37912,0.4724
29,0.9192315340042114,0.38382,0.47
30,1.0330605506896973,0.33788,0.4134
31,0.9684694409370422,0.34094,0.4214
32,0.8272402882575989,0.36444,0.4529
33,1.2288844585418701,0.34632,0.4334
34,0.9599931836128235,0.33522,0.433
35,1.302521824836731,0.30998,0.4156
36,1.1647487878799438,0.3072,0.4136
37,1.2283505201339722,0.31264,0.4117
38,1.044830083847046,0.30422,0.4046
39,1.2386337518692017,0.34788,0.4478
40,1.1637734174728394,0.31932,0.4141
41,0.9899271726608276,0.32474,0.4266
42,1.1279394626617432,0.34496,0.4524
43,1.2332550287246704,0.33028,0.4195
44,1.2571496963500977,0.33472,0.4421
45,0.973986029624939,0.3135,0.4265
46,1.1238030195236206,0.30934,0.4184
47,1.0216803550720215,0.3173,0.4321
48,0.9702253341674805,0.29538,0.4127
49,0.8363425135612488,0.3415,0.447
50,0.9256173968315125,0.32302,0.4318
51,0.8943179249763489,0.32624,0.4308
52,0.9369791746139526,0.28952,0.408
53,1.0828171968460083,0.31732,0.4261
54,1.041851282119751,0.31904,0.4308
55,0.9139668345451355,0.29424,0.4113
56,0.9090007543563843,0.28082,0.4083
57,0.7721980214118958,0.2738,0.3992
58,1.3637923002243042,0.31478,0.4283
59,1.0879244804382324,0.26488,0.3978
60,0.7963830232620239,0.27714,0.399
61,0.777531623840332,0.3147,0.4387
62,0.9904248118400574,0.28348,0.4115
63,0.9150940179824829,0.27702,0.4044
64,1.0169689655303955,0.29018,0.4123
65,1.0996685028076172,0.28588,0.4111
66,0.6817941069602966,0.26866,0.3898
67,0.9912258982658386,0.2894,0.4161
68,1.0541406869888306,0.30682,0.4285
69,0.8796761631965637,0.2947,0.4208
70,0.9215240478515625,0.26734,0.4074
71,1.0761849880218506,0.27944,0.4081
72,1.0306726694107056,0.27368,0.3997
73,0.9816458821296692,0.27474,0.4058
74,0.7930536866188049,0.26852,0.4014
75,0.7681038975715637,0.25314,0.3917
76,0.9021272659301758,0.3079,0.4348
77,0.7161856889724731,0.26058,0.3972
78,0.9096571207046509,0.26742,0.3991
79,0.6889752745628357,0.28566,0.4145
80,0.6244370341300964,0.24846,0.3926
81,0.7813808917999268,0.28424,0.4124
82,0.3197171092033386,0.12282,0.3078
83,0.47389402985572815,0.11064,0.3047
84,0.32077527046203613,0.10192,0.3071
85,0.5214075446128845,0.09708,0.3042
86,0.25846266746520996,0.09128,0.3061
87,0.3152967691421509,0.08796,0.3064
88,0.2792878746986389,0.08292,0.3072
89,0.298894464969635,0.08074,0.3092
90,0.4942933917045593,0.07534,0.3081
91,0.30360087752342224,0.07396,0.3066
92,0.2064899504184723,0.0715,0.3114
93,0.3662134110927582,0.06838,0.3104
94,0.19590449333190918,0.06764,0.3035
95,0.2048044502735138,0.0649,0.3072
96,0.330840528011322,0.06384,0.3144
97,0.20995919406414032,0.0654,0.3095
98,0.2905411720275879,0.06084,0.3113
99,0.1644667088985443,0.05834,0.3099
100,0.22906894981861115,0.0566,0.3088
101,0.19342276453971863,0.0535,0.3113
102,0.21154220402240753,0.05406,0.3133
103,0.2377123385667801,0.0506,0.3119
104,0.20345158874988556,0.05014,0.3094
105,0.1049870103597641,0.04984,0.3086
106,0.3543800711631775,0.04918,0.3108
107,0.15851494669914246,0.0461,0.3105
108,0.13149204850196838,0.04708,0.3121
109,0.15309855341911316,0.0449,0.3131
110,0.2899971604347229,0.04396,0.3136
111,0.22259612381458282,0.04564,0.3153
112,0.12266296148300171,0.04436,0.3179
113,0.20023708045482635,0.04502,0.3152
114,0.10944710671901703,0.04004,0.3152
115,0.18089547753334045,0.0395,0.3172
116,0.1889875829219818,0.03992,0.3176
117,0.12091606855392456,0.03876,0.3181
118,0.1702532321214676,0.03746,0.3167
119,0.15890362858772278,0.0394,0.3206
120,0.20044724643230438,0.03764,0.3195
121,0.24476845562458038,0.03612,0.3187
122,0.12066668272018433,0.03594,0.3153
123,0.19455671310424805,0.0261,0.3125
124,0.11033795773983002,0.0248,0.3107
125,0.1297392100095749,0.02504,0.312
126,0.16539914906024933,0.02368,0.3103
127,0.12217024713754654,0.02214,0.3114
128,0.1570213884115219,0.02256,0.311
129,0.2575273811817169,0.0215,0.3105
130,0.1738574057817459,0.02216,0.3121
131,0.11201439797878265,0.02242,0.3116
132,0.11983062326908112,0.02138,0.3103
133,0.1285037100315094,0.02088,0.3105
134,0.08826185762882233,0.02084,0.3097
135,0.1773928552865982,0.02204,0.3105
136,0.14411503076553345,0.02044,0.311
137,0.13088929653167725,0.02064,0.3112
138,0.1049240231513977,0.02074,0.3093
139,0.14886677265167236,0.01998,0.3111
140,0.19444328546524048,0.01956,0.3095
141,0.15157867968082428,0.02006,0.3116
142,0.10468242317438126,0.0201,0.3096
143,0.10799126327037811,0.01896,0.3111
144,0.07526189088821411,0.01968,0.3092
145,0.12146209180355072,0.01876,0.3089
146,0.12685713171958923,0.0197,0.3096
147,0.1837644875049591,0.01818,0.3088
148,0.09505964815616608,0.0192,0.3085
149,0.15986444056034088,0.01852,0.309
150,0.12431547790765762,0.01812,0.3098
151,0.1405666023492813,0.01744,0.311
152,0.14058950543403625,0.0188,0.3096
153,0.09884612262248993,0.01774,0.3102
154,0.19280557334423065,0.01698,0.3118
155,0.1601981818675995,0.01814,0.3098
156,0.0840938463807106,0.01774,0.3095
157,0.11329229921102524,0.01732,0.3098
158,0.17951616644859314,0.01774,0.3112
159,0.0599011667072773,0.01714,0.3104
160,0.13352754712104797,0.01712,0.3085
161,0.13181886076927185,0.01616,0.3103
162,0.14563235640525818,0.01614,0.3101
163,0.121904157102108,0.0164,0.3108
