epoch,train_loss,train_err,test_err
0,4.011224269866943,0.92794,0.9197
1,3.7694554328918457,0.86332,0.8623
2,2.929661512374878,0.82692,0.8196
3,3.062351703643799,0.77886,0.7806
4,2.964189052581787,0.7832,0.7812
5,2.5958588123321533,0.72346,0.7311
6,2.3257081508636475,0.66596,0.6684
7,2.4175333976745605,0.6676,0.6669
8,2.116098165512085,0.64908,0.6579
9,2.1034352779388428,0.60178,0.6174
10,1.853131890296936,0.59332,0.6136
11,2.035292863845825,0.57222,0.583
12,1.9089033603668213,0.55986,0.5797
13,2.2586865425109863,0.58804,0.6164
14,2.0044023990631104,0.6004,0.6147
15,1.5791608095169067,0.575,0.5897
16,1.9544293880462646,0.53568,0.5599
17,2.1312007904052734,0.49318,0.5227
18,1.7687323093414307,0.49784,0.5371
19,1.7262073755264282,0.53454,0.5534
20,1.7530103921890259,0.54942,0.5829
21,1.6733843088150024,0.52786,0.5676
22,1.5407342910766602,0.47062,0.501
23,1.3200613260269165,0.5553,0.5842
24,1.8658164739608765,0.49836,0.5471
25,1.4113892316818237,0.50132,0.5534
26,1.5944143533706665,0.4654,0.5135
27,1.8048871755599976,0.45654,0.5023
28,1.7724370956420898,0.45986,0.4983
29,1.277862548828125,0.45426,0.5042
30,1.7154381275177002,0.4567,0.5028
31,1.5791257619857788,0.49648,0.537
32,1.4466016292572021,0.454,0.496
33,1.3173831701278687,0.49218,0.5273
34,1.6852601766586304,0.4159,0.4652
35,1.6814552545547485,0.4393,0.4828
36,1.2691452503204346,0.46516,0.5104
37,1.6980466842651367,0.42676,0.4749
38,1.6653938293457031,0.44638,0.4982
39,1.6030206680297852,0.44572,0.5064
40,1.4181588888168335,0.43814,0.4904
41,1.2915812730789185,0.45502,0.5016
42,1.3820030689239502,0.40984,0.4659
43,1.2647044658660889,0.4133,0.4787
44,1.3226251602172852,0.4095,0.466
45,1.349646806716919,0.41788,0.4668
46,1.4269683361053467,0.43154,0.4872
47,1.252624273300171,0.46764,0.5114
48,1.5339093208312988,0.41328,0.476
49,1.3933985233306885,0.44888,0.5096
50,1.3968894481658936,0.43754,0.4956
51,1.4206840991973877,0.4425,0.4893
52,1.2059650421142578,0.4404,0.5051
53,1.6252282857894897,0.4857,0.5383
54,1.2903635501861572,0.42722,0.4797
55,1.2669932842254639,0.47656,0.5205
56,1.3347814083099365,0.41642,0.4822
57,1.8281742334365845,0.41346,0.4758
58,1.3304294347763062,0.38552,0.4559
59,1.3491017818450928,0.42706,0.4799
60,1.3406727313995361,0.39058,0.4601
61,1.7386577129364014,0.48828,0.5385
62,1.3998255729675293,0.39044,0.4599
63,1.3169679641723633,0.43156,0.4939
