epoch,train_loss,train_err,test_err
0,4.076386451721191,0.95792,0.9545
1,3.799924850463867,0.89144,0.8859
2,3.323686122894287,0.80258,0.795
3,2.8089759349823,0.73164,0.7344
4,2.3727316856384277,0.66712,0.6758
5,2.6111836433410645,0.61728,0.6282
6,2.002516508102417,0.58664,0.6085
7,2.2799811363220215,0.5402,0.5635
8,1.8136488199234009,0.5083,0.5278
9,1.8462018966674805,0.52124,0.5524
10,2.036499500274658,0.47016,0.5083
11,1.5172550678253174,0.4544,0.5007
12,1.4327136278152466,0.46004,0.4987
13,1.34555184841156,0.44864,0.4938
14,1.2553811073303223,0.40978,0.4633
15,1.9359071254730225,0.3982,0.453
16,1.7932994365692139,0.4178,0.4791
17,1.1805354356765747,0.37284,0.4414
18,1.2659826278686523,0.377,0.4449
19,1.3578914403915405,0.3837,0.4533
20,1.171716332435608,0.3657,0.442
21,1.2256275415420532,0.38462,0.4604
22,1.0389188528060913,0.38534,0.4631
23,1.008101463317871,0.3403,0.4162
24,1.0204578638076782,0.34682,0.4356
25,1.3067373037338257,0.35472,0.4326
26,1.1467918157577515,0.35362,0.4458
27,0.9000455737113953,0.34474,0.4382
28,1.2261877059936523,0.3308,0.4226
29,1.129795789718628,0.32118,0.4118
30,1.2302182912826538,0.32444,0.4228
31,1.2912628650665283,0.31844,0.4191
32,1.2722797393798828,0.34952,0.4489
33,1.1399513483047485,0.33622,0.4315
34,0.8834966421127319,0.29436,0.3997
35,0.9548853039741516,0.32242,0.4117
36,0.7136643528938293,0.3094,0.4113
37,0.8247002363204956,0.31488,0.4221
38,1.3924504518508911,0.33844,0.4345
39,1.0345892906188965,0.3133,0.4376
40,1.0273107290267944,0.31788,0.4252
41,0.7990947961807251,0.28512,0.3983
42,0.9239609837532043,0.303,0.4113
43,0.9658042788505554,0.3072,0.4188
44,0.9765602946281433,0.28464,0.3984
45,0.9191921949386597,0.27668,0.4044
46,0.7905890941619873,0.28692,0.4051
47,1.2178184986114502,0.27986,0.4042
48,1.1031558513641357,0.26614,0.3904
49,0.8485396504402161,0.28238,0.3984
50,0.8319759368896484,0.2682,0.3861
51,0.592304527759552,0.29472,0.4189
52,1.004503607749939,0.2614,0.3904
53,0.9494783282279968,0.27828,0.3949
54,0.8672234416007996,0.26004,0.3924
55,0.8239465951919556,0.32072,0.4336
56,0.563286542892456,0.26904,0.3997
57,0.8314211964607239,0.26742,0.3881
58,0.9048236608505249,0.24946,0.3866
59,1.0188934803009033,0.2585,0.3999
60,0.742967963218689,0.24674,0.3844
61,0.6891974210739136,0.26948,0.4056
62,0.7541629672050476,0.27466,0.4062
63,0.7698854207992554,0.27366,0.4059
64,1.151714563369751,0.24938,0.3844
65,0.8581644296646118,0.2536,0.3857
66,0.8807321786880493,0.26646,0.3985
67,0.7778854966163635,0.2656,0.3961
68,1.025336742401123,0.29224,0.4242
69,0.7291344404220581,0.29248,0.4187
70,0.7452300786972046,0.29912,0.4165
71,0.8083847165107727,0.25382,0.3941
72,0.9034061431884766,0.27168,0.4001
73,0.9845834970474243,0.24268,0.3851
74,0.6842413544654846,0.29036,0.4247
75,0.8706544041633606,0.27484,0.4035
76,0.958010196685791,0.2572,0.3922
77,0.7089821100234985,0.2683,0.4093
78,0.7866929173469543,0.2532,0.3986
79,0.6352986097335815,0.27058,0.4063
80,1.0489814281463623,0.26404,0.4049
81,0.8749340176582336,0.24842,0.3912
82,0.26507630944252014,0.097,0.2968
83,0.225650817155838,0.0832,0.292
84,0.27996763586997986,0.0762,0.2947
85,0.2795303463935852,0.0705,0.2935
86,0.28479355573654175,0.06678,0.2932
87,0.3209019601345062,0.0635,0.2928
88,0.1978980153799057,0.0591,0.2908
89,0.19710339605808258,0.0537,0.29
90,0.2766888737678528,0.05206,0.2911
91,0.22739025950431824,0.04908,0.2932
92,0.26499152183532715,0.04766,0.2951
93,0.19022798538208008,0.04626,0.2939
94,0.1713418960571289,0.04204,0.2958
95,0.13128234446048737,0.04214,0.2912
96,0.27741432189941406,0.03892,0.2925
97,0.17881743609905243,0.03802,0.2935
98,0.14416518807411194,0.03682,0.292
99,0.11704178899526596,0.03658,0.296
100,0.27093663811683655,0.03214,0.2923
101,0.12403508275747299,0.03178,0.2963
102,0.15043331682682037,0.0297,0.2939
103,0.17276941239833832,0.03206,0.295
104,0.16685698926448822,0.02994,0.2967
105,0.22699734568595886,0.02842,0.2997
106,0.1091068834066391,0.0281,0.297
107,0.16108565032482147,0.02566,0.2963
108,0.21318617463111877,0.02524,0.2971
109,0.12333036959171295,0.02476,0.2967
110,0.1382284313440323,0.0225,0.2956
111,0.172711580991745,0.02218,0.3002
112,0.19247113168239594,0.02172,0.2978
113,0.15714974701404572,0.02168,0.2966
114,0.11536423861980438,0.02042,0.2995
115,0.09962598234415054,0.022,0.2982
116,0.109087273478508,0.02038,0.2956
117,0.07081349194049835,0.01902,0.301
118,0.10352768748998642,0.01862,0.2967
119,0.21900054812431335,0.01844,0.2989
120,0.040254831314086914,0.0179,0.3011
121,0.1973162591457367,0.01794,0.2972
122,0.0790993720293045,0.01808,0.3042
123,0.1416795700788498,0.01254,0.2976
124,0.07337845861911774,0.01072,0.2974
125,0.09509213268756866,0.01124,0.296
126,0.11151707172393799,0.01036,0.2967
127,0.08358810842037201,0.01052,0.2963
128,0.07033021748065948,0.01046,0.2954
129,0.11310853809118271,0.009,0.2961
130,0.046532176434993744,0.0094,0.2944
131,0.1259497106075287,0.00886,0.295
132,0.10058794915676117,0.00956,0.2949
133,0.11087938398122787,0.00872,0.294
134,0.07865383476018906,0.00868,0.2962
135,0.0907796248793602,0.0084,0.2973
136,0.06687706708908081,0.00856,0.295
137,0.07875978946685791,0.00838,0.2938
138,0.06765389442443848,0.00844,0.2946
