epoch,train_loss,train_err,test_err
0,4.452678680419922,0.97922,0.9782
1,4.215234279632568,0.96816,0.9639
2,4.202813625335693,0.9507,0.9492
3,4.135927677154541,0.94294,0.9475
4,3.9753975868225098,0.94632,0.9469
5,3.9074161052703857,0.92666,0.9239
6,3.763416290283203,0.92374,0.9237
7,4.064422607421875,0.89904,0.8935
8,3.691908597946167,0.9039,0.8912
9,3.6755237579345703,0.87494,0.8664
10,3.763655185699463,0.87744,0.8697
11,3.9847328662872314,0.8726,0.8654
12,3.5100841522216797,0.86736,0.8694
13,3.3992137908935547,0.8667,0.8555
14,3.6138997077941895,0.86718,0.8613
15,3.373526096343994,0.81904,0.81
16,3.2972023487091064,0.8769,0.8608
17,3.197631597518921,0.81304,0.8095
18,3.3154208660125732,0.82412,0.8193
19,3.3443825244903564,0.81052,0.8011
20,3.2523467540740967,0.81112,0.8144
21,2.9701943397521973,0.78162,0.7803
22,2.8738651275634766,0.7728,0.7708
23,2.73514461517334,0.7477,0.7442
24,2.9998440742492676,0.74994,0.7474
25,2.818936824798584,0.77016,0.7732
26,2.827500104904175,0.80238,0.7979
27,2.708308219909668,0.74272,0.7427
28,2.952361583709717,0.73872,0.7367
29,2.563286066055298,0.7224,0.7274
30,2.7122108936309814,0.7261,0.7275
31,2.9209392070770264,0.79976,0.8142
32,2.4786622524261475,0.7252,0.7205
33,2.6198337078094482,0.69882,0.6943
34,2.7061028480529785,0.70958,0.7127
35,2.9507956504821777,0.70148,0.7141
36,2.3478312492370605,0.7117,0.7265
37,2.769383430480957,0.75394,0.7664
38,2.431183099746704,0.664,0.6607
39,2.5021584033966064,0.73028,0.7358
40,2.891735315322876,0.78056,0.7952
41,2.249082565307617,0.66406,0.671
42,2.213874578475952,0.69492,0.697
43,2.4505257606506348,0.68974,0.7083
44,2.351569652557373,0.6645,0.6841
45,2.214902877807617,0.70128,0.6987
46,2.476011276245117,0.64876,0.6608
47,2.379676103591919,0.6933,0.7048
48,2.2359447479248047,0.6666,0.6709
49,2.5762581825256348,0.64236,0.6601
50,1.9052908420562744,0.7015,0.6994
51,2.292844772338867,0.70528,0.7029
52,2.2002835273742676,0.69708,0.6917
53,2.576962947845459,0.6603,0.6586
54,2.305774688720703,0.66052,0.6643
55,2.337620735168457,0.76014,0.7466
56,2.261446475982666,0.69346,0.7085
57,2.595196008682251,0.62476,0.635
58,2.519253730773926,0.65704,0.6632
59,2.2903389930725098,0.6539,0.6676
60,2.072204828262329,0.71238,0.7081
61,2.358586311340332,0.76764,0.7627
62,2.3321752548217773,0.63954,0.6533
63,1.8221492767333984,0.70972,0.7037
64,2.0241987705230713,0.6313,0.6498
65,1.9384227991104126,0.64202,0.6527
66,2.320996046066284,0.68666,0.6856
67,1.8654158115386963,0.68096,0.6833
68,2.0541672706604004,0.64948,0.6579
69,2.3909058570861816,0.65868,0.664
70,2.0623252391815186,0.63614,0.6652
71,2.4937920570373535,0.5981,0.6166
72,2.3766655921936035,0.64348,0.6596
73,1.9914833307266235,0.8201,0.8049
74,1.9860881567001343,0.69906,0.6943
75,2.082970142364502,0.57506,0.5984
76,2.0846402645111084,0.57224,0.5917
77,1.8628056049346924,0.57662,0.6088
78,2.4582018852233887,0.61418,0.6331
79,2.020203113555908,0.58666,0.6171
80,1.9196239709854126,0.69626,0.707
81,2.205843687057495,0.74956,0.7505
82,1.663058876991272,0.43394,0.4882
83,1.4436663389205933,0.42776,0.4891
84,1.3778668642044067,0.41058,0.4792
85,1.7163950204849243,0.41806,0.4857
86,1.66159188747406,0.40862,0.4785
87,1.4718830585479736,0.40254,0.4752
88,1.4145876169204712,0.39494,0.471
89,1.3477754592895508,0.39448,0.475
90,1.6620086431503296,0.3915,0.4752
91,1.5379658937454224,0.39142,0.4783
92,1.6695375442504883,0.38526,0.4684
93,1.546934723854065,0.38602,0.4712
94,1.288101077079773,0.39034,0.4736
95,1.2151234149932861,0.37898,0.4742
96,1.192535638809204,0.38128,0.4714
97,1.2899725437164307,0.3929,0.479
98,1.3984850645065308,0.37556,0.4681
99,1.3410553932189941,0.37792,0.4718
100,0.954991340637207,0.3824,0.4732
101,1.4706900119781494,0.36988,0.4678
102,1.1726996898651123,0.36854,0.4704
103,1.6191132068634033,0.38948,0.4793
104,2.219331741333008,0.36826,0.468
105,1.7841780185699463,0.36888,0.466
106,1.425148606300354,0.3674,0.4716
107,1.3646832704544067,0.37112,0.4737
108,1.529721736907959,0.36272,0.4665
109,1.826333999633789,0.36406,0.4684
110,0.9531661868095398,0.38218,0.4841
111,1.5036444664001465,0.35956,0.4665
112,1.480270266532898,0.34974,0.4647
113,1.2270807027816772,0.36034,0.4654
114,1.2366102933883667,0.35528,0.4695
115,1.089481234550476,0.34826,0.4653
116,1.2979412078857422,0.35564,0.4705
117,1.2514363527297974,0.35972,0.4731
118,1.0702736377716064,0.3612,0.4758
119,1.8055795431137085,0.3478,0.4673
120,0.922327995300293,0.3486,0.4716
121,0.9845393300056458,0.35892,0.4724
122,1.2822433710098267,0.35318,0.4714
123,0.9382365942001343,0.31788,0.4487
124,1.0007400512695312,0.311,0.4482
125,1.300960659980774,0.3091,0.4492
126,1.4770386219024658,0.30692,0.4487
127,1.3992366790771484,0.30896,0.4482
128,1.2832504510879517,0.30752,0.4513
129,1.2197325229644775,0.3058,0.4497
130,1.0967180728912354,0.30638,0.4499
131,1.070922613143921,0.30798,0.4459
132,1.056437611579895,0.30588,0.4481
133,0.863111674785614,0.30586,0.4491
134,1.0153614282608032,0.30622,0.4483
135,0.7743369340896606,0.30266,0.448
136,1.0905357599258423,0.30224,0.4495
137,1.0110023021697998,0.30358,0.4491
138,1.019917368888855,0.3008,0.4492
139,1.214766025543213,0.30222,0.4498
140,0.8100075721740723,0.30226,0.4501
141,1.1595494747161865,0.30164,0.4478
142,1.1164292097091675,0.30062,0.4518
143,1.1239194869995117,0.30102,0.4496
144,1.1436362266540527,0.30218,0.4488
145,1.0654017925262451,0.29818,0.4498
146,0.9763884544372559,0.29952,0.4487
147,1.1144163608551025,0.29756,0.4511
148,1.1349607706069946,0.29886,0.4471
149,1.0696264505386353,0.29456,0.452
150,1.1396358013153076,0.29804,0.4514
151,1.0270185470581055,0.29544,0.4511
152,1.1647059917449951,0.29374,0.4509
153,1.1874794960021973,0.29978,0.4517
154,0.9103960990905762,0.29676,0.4504
155,1.1124093532562256,0.29476,0.4518
156,1.0701744556427002,0.29596,0.4516
157,0.9408859014511108,0.29842,0.4505
158,1.003469705581665,0.29532,0.4514
159,0.9706185460090637,0.29228,0.4506
160,1.2094895839691162,0.2935,0.4502
161,1.1854133605957031,0.29266,0.4497
162,1.2065303325653076,0.29456,0.4505
163,1.3314239978790283,0.29182,0.4517
