epoch,train_loss,train_err,test_err
0,1.6330432891845703,0.65388,0.6417
1,1.347491979598999,0.5373,0.5208
2,1.1398935317993164,0.46472,0.451
3,1.050445318222046,0.43222,0.4353
4,0.996626079082489,0.31124,0.3104
5,0.8340827822685242,0.28556,0.2909
6,0.8381186723709106,0.241,0.247
7,0.7644993662834167,0.28622,0.2806
8,0.9042309522628784,0.29276,0.3177
9,0.5937312841415405,0.20284,0.2131
10,0.5711614489555359,0.21018,0.2297
11,0.43183261156082153,0.18836,0.2113
12,0.37171173095703125,0.17512,0.1933
13,0.7016212940216064,0.18346,0.2203
14,0.45437583327293396,0.16486,0.1939
15,0.4629172384738922,0.17166,0.1985
16,0.5312031507492065,0.15918,0.1809
17,0.4076921343803406,0.144,0.1799
18,0.22428341209888458,0.14328,0.1706
19,0.4391765594482422,0.13582,0.1696
20,0.21907396614551544,0.13852,0.1706
21,0.3593485355377197,0.1187,0.1494
22,0.4612332880496979,0.13728,0.1759
23,0.37935060262680054,0.1389,0.1777
24,0.5444729924201965,0.1082,0.1422
25,0.3062611222267151,0.11652,0.157
26,0.3683006167411804,0.12802,0.1662
27,0.287072092294693,0.11516,0.1569
28,0.3157717287540436,0.12644,0.1595
29,0.3086758553981781,0.11052,0.1564
30,0.4185515344142914,0.12486,0.1658
31,0.22269317507743835,0.13364,0.17
32,0.4436728358268738,0.1026,0.1463
33,0.333965927362442,0.10906,0.1539
34,0.28180795907974243,0.12236,0.169
35,0.47716695070266724,0.1239,0.1654
36,0.18435165286064148,0.09238,0.1319
37,0.23318099975585938,0.09276,0.1334
38,0.2828434407711029,0.11162,0.1559
39,0.2740790545940399,0.13954,0.1804
40,0.22772952914237976,0.1219,0.1593
41,0.3602021038532257,0.08844,0.1378
42,0.28379520773887634,0.08238,0.135
43,0.2981887459754944,0.12444,0.166
44,0.27660447359085083,0.09988,0.1539
45,0.2264624387025833,0.10972,0.1602
46,0.3227538764476776,0.1329,0.1687
47,0.32779741287231445,0.09232,0.1418
48,0.28904324769973755,0.08692,0.1327
49,0.16876772046089172,0.10116,0.1493
50,0.2789493501186371,0.08272,0.1334
51,0.19629359245300293,0.08818,0.1379
52,0.3293076157569885,0.1246,0.174
53,0.24893493950366974,0.0907,0.1405
54,0.14564421772956848,0.07302,0.1218
55,0.2007814347743988,0.07072,0.1174
56,0.3183855414390564,0.0852,0.1347
57,0.1834806501865387,0.08664,0.1336
58,0.1438310593366623,0.09004,0.1328
59,0.2514272928237915,0.07832,0.1351
60,0.20271527767181396,0.08238,0.1427
61,0.21976271271705627,0.08126,0.1341
62,0.19160114228725433,0.07484,0.1262
63,0.18461866676807404,0.0876,0.144
64,0.17342440783977509,0.08786,0.1358
65,0.255046546459198,0.07148,0.1226
66,0.21699626743793488,0.07472,0.1284
67,0.2002498209476471,0.09802,0.1447
68,0.22643522918224335,0.09194,0.1407
69,0.200853630900383,0.10172,0.1512
70,0.21130423247814178,0.07716,0.1321
71,0.2161439210176468,0.06496,0.1188
72,0.19467635452747345,0.09744,0.1398
73,0.15793679654598236,0.08982,0.1445
74,0.22645573318004608,0.0834,0.1334
75,0.19569094479084015,0.08298,0.1323
76,0.24731144309043884,0.0715,0.1301
77,0.2179987132549286,0.06488,0.1173
78,0.23271724581718445,0.0972,0.152
79,0.23281431198120117,0.07262,0.1215
80,0.2561165690422058,0.09452,0.1427
81,0.1964932680130005,0.09014,0.1442
82,0.05546306446194649,0.02412,0.0869
83,0.12947407364845276,0.01926,0.0865
84,0.03351850435137749,0.01652,0.0826
85,0.0778728798031807,0.015,0.0827
86,0.04601650685071945,0.0137,0.0814
87,0.0728733241558075,0.01212,0.0809
88,0.019943874329328537,0.0128,0.0832
89,0.050284493714571,0.01056,0.0825
90,0.030157413333654404,0.00954,0.0804
91,0.03000016137957573,0.00852,0.0799
92,0.02759089507162571,0.0082,0.0809
93,0.022954244166612625,0.00756,0.0805
94,0.027116257697343826,0.00674,0.0803
95,0.041984327137470245,0.00654,0.0806
96,0.04705534502863884,0.00664,0.0793
97,0.05152028799057007,0.00646,0.0814
98,0.011339431628584862,0.00584,0.0812
99,0.00575250992551446,0.00548,0.0799
100,0.006297701504081488,0.00486,0.0806
